,index,time,code,price,volume,hoga_sell_amount,hoga_buy_amount
371,0,20200901093830 ,214330,4870,30805756,0,0
372,0,20200901093835 ,214330,4880,30814090,0,0
373,0,20200901093841 ,214330,4875,30844513,0,0
374,0,20200901093847 ,214330,4845,30905263,0,0
375,0,20200901093853 ,214330,4860,30930427,0,0
376,0,20200901093859 ,214330,4855,30953615,0,0
377,0,20200901093904 ,214330,4860,30969360,0,0
378,0,20200901093910 ,214330,4865,30989181,0,0
379,0,20200901093915 ,214330,4880,31020513,0,0
380,0,20200901093921 ,214330,4890,31053986,0,0
381,0,20200901093927 ,214330,4895,31104064,0,0
382,0,20200901093933 ,214330,4890,31187330,0,0
383,0,20200901093939 ,214330,4885,31224612,0,0
384,0,20200901093945 ,214330,4890,31274069,0,0
385,0,20200901093951 ,214330,4895,31296930,0,0
386,0,20200901093957 ,214330,4895,31321883,0,0
387,0,20200901094002 ,214330,4895,31334511,0,0
388,0,20200901094008 ,214330,4900,31354765,0,0
389,0,20200901094014 ,214330,4900,31387838,0,0
390,0,20200901094019 ,214330,4885,31432269,0,0
391,0,20200901094025 ,214330,4895,31443675,0,0
392,0,20200901094031 ,214330,4890,31469021,0,0
393,0,20200901094037 ,214330,4890,31485463,0,0
394,0,20200901094042 ,214330,4895,31494200,0,0
395,0,20200901094048 ,214330,4885,31507659,0,0
396,0,20200901094054 ,214330,4890,31524778,0,0
397,0,20200901094059 ,214330,4890,31533041,0,0
398,0,20200901094105 ,214330,4880,31578356,0,0
399,0,20200901094111 ,214330,4885,31597571,0,0
400,0,20200901094116 ,214330,4870,31629439,0,0
401,0,20200901094122 ,214330,4865,31650542,0,0
402,0,20200901094127 ,214330,4860,31682068,0,0
403,0,20200901094134 ,214330,4860,31719677,0,0
404,0,20200901094140 ,214330,4850,31740937,0,0
405,0,20200901094146 ,214330,4880,31770886,0,0
406,0,20200901094153 ,214330,4880,31784085,0,0
407,0,20200901094159 ,214330,4890,31830609,0,0
408,0,20200901094206 ,214330,4895,31861392,0,0
409,0,20200901094212 ,214330,4970,32337796,0,0
410,0,20200901094218 ,214330,4940,32438111,0,0
411,0,20200901094223 ,214330,4950,32534602,0,0
412,0,20200901094229 ,214330,4965,32658144,0,0
413,0,20200901094235 ,214330,4955,32708849,0,0
414,0,20200901094241 ,214330,4940,32832256,0,0
415,0,20200901094247 ,214330,4950,32889429,0,0
416,0,20200901094252 ,214330,4955,32925847,0,0
417,0,20200901094259 ,214330,4950,32969946,0,0
418,0,20200901094305 ,214330,4970,33101112,0,0
